log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log2_anom_skip_5,oc,770,742,28,730,691,39,0.1
log2_anom_skip_5,oc,770,742,28,730,691,39,0.3
log2_anom_skip_5,oc,770,742,28,730,691,39,0.5
log2_anom_skip_5,sv,64,60,4,1436,1373,63
log2_anom_earlylate_10,oc,0,0,0,1500,1362,138,0.05
log2_anom_earlylate_10,oc,0,0,0,1500,1362,138,0.1
log2_anom_earlylate_10,oc,0,0,0,1500,1362,138,0.3
log2_anom_earlylate_10,oc,1500,1362,138,0,0,0,0.5
log2_anom_earlylate_10,sv,0,0,0,1500,1362,138
log2_anom_all_10,oc,0,0,0,1500,1366,134,0.05
log2_anom_all_10,oc,0,0,0,1500,1366,134,0.1
log2_anom_all_10,oc,0,0,0,1500,1366,134,0.3
log2_anom_all_10,oc,730,668,62,770,698,72,0.5
log2_anom_all_10,sv,0,0,0,1500,1366,134
log1_anom_rework_20,oc,77,64,13,1423,1114,309,0.05
log1_anom_rework_20,oc,124,101,23,1376,1077,299,0.1
log1_anom_rework_20,oc,454,373,81,1046,805,241,0.3
log1_anom_rework_20,oc,699,565,134,801,613,188,0.5
log1_anom_rework_20,sv,142,110,32,1358,1068,290
log1_anom_skip_5,oc,67,63,4,1433,1369,64,0.05
log1_anom_skip_5,oc,131,123,8,1369,1309,60,0.1
log1_anom_skip_5,oc,398,381,17,1102,1051,51,0.3
log1_anom_skip_5,oc,778,742,36,722,690,32,0.5
log1_anom_skip_5,sv,44,42,2,1456,1390,66
log1_anom_skip_10,oc,72,68,4,1428,1287,141,0.05
log1_anom_skip_10,oc,137,130,7,1363,1225,138,0.1
log1_anom_skip_10,oc,506,459,47,994,896,98,0.3
log1_anom_skip_10,oc,747,674,73,753,681,72,0.5
log1_anom_skip_10,sv,82,69,13,1418,1286,132
log1_anom_skip_15,oc,83,72,11,1417,1209,208,0.05
log1_anom_skip_15,oc,163,134,29,1337,1147,190,0.1
log1_anom_skip_15,oc,454,390,64,1046,891,155,0.3
log1_anom_skip_15,oc,772,665,107,728,616,112,0.5
log1_anom_skip_15,sv,149,126,23,1351,1155,196
log1_anom_earlylate_5,oc,56,55,1,1444,1376,68,0.05
log1_anom_earlylate_5,oc,151,146,5,1349,1285,64,0.1
log1_anom_earlylate_5,oc,492,470,22,1008,961,47,0.3
